ExperimentId,VideoId,Timestamp,TotalLatencyMs,ApiCostUsd,DetectedCount,VerifiedCount,Precision,Recall,F1,MRR,nDCG,mAP
run-1783605282865,cmqqwyyz4000113q09bdbdtid,2026-07-09T14:07:01.193Z,738328,0.0006,21,0,0,0,0,1,1,1
run-1783606021200,cmr6ttia4004dno2alvdd0xkv,2026-07-09T14:10:57.160Z,205257,0,5,3,0,0,0,0,0,0
